1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EA00000030351C21
Is Mission Active?  true
Mission Start:  Wed Aug 14 02:01:00 UTC 2013
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2070
Total Samples:  4375
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  0 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/14/13 2:01:00 AM,C,-1.5
8/14/13 6:01:00 AM,C,-2
8/14/13 10:01:00 AM,C,0.5
8/14/13 2:01:00 PM,C,1
8/14/13 6:01:00 PM,C,0.5
8/14/13 10:01:00 PM,C,0
8/15/13 2:01:00 AM,C,-1
8/15/13 6:01:00 AM,C,-1.5
8/15/13 10:01:00 AM,C,-0.5
8/15/13 2:01:00 PM,C,1
8/15/13 6:01:00 PM,C,1
8/15/13 10:01:00 PM,C,-0.5
8/16/13 2:01:00 AM,C,-2
8/16/13 6:01:00 AM,C,-1.5
8/16/13 10:01:00 AM,C,0.5
8/16/13 2:01:00 PM,C,1
8/16/13 6:01:00 PM,C,0.5
8/16/13 10:01:00 PM,C,0
8/17/13 2:01:00 AM,C,0
8/17/13 6:01:00 AM,C,0
8/17/13 10:01:00 AM,C,0
8/17/13 2:01:00 PM,C,0
8/17/13 6:01:00 PM,C,0
8/17/13 10:01:00 PM,C,0
8/18/13 2:01:00 AM,C,0
8/18/13 6:01:00 AM,C,0
8/18/13 10:01:00 AM,C,0
8/18/13 2:01:00 PM,C,0
8/18/13 6:01:00 PM,C,0
8/18/13 10:01:00 PM,C,0
8/19/13 2:01:00 AM,C,0
8/19/13 6:01:00 AM,C,0
8/19/13 10:01:00 AM,C,0
8/19/13 2:01:00 PM,C,0
8/19/13 6:01:00 PM,C,0
8/19/13 10:01:00 PM,C,0
8/20/13 2:01:00 AM,C,0
8/20/13 6:01:00 AM,C,0
8/20/13 10:01:00 AM,C,-0.5
8/20/13 2:01:00 PM,C,0
8/20/13 6:01:00 PM,C,0
8/20/13 10:01:00 PM,C,0
8/21/13 2:01:00 AM,C,0
8/21/13 6:01:00 AM,C,-0.5
8/21/13 10:01:00 AM,C,-0.5
8/21/13 2:01:00 PM,C,0
8/21/13 6:01:00 PM,C,0
8/21/13 10:01:00 PM,C,0
8/22/13 2:01:00 AM,C,0
8/22/13 6:01:00 AM,C,-0.5
8/22/13 10:01:00 AM,C,-0.5
8/22/13 2:01:00 PM,C,0
8/22/13 6:01:00 PM,C,0
8/22/13 10:01:00 PM,C,0
8/23/13 2:01:00 AM,C,-0.5
8/23/13 6:01:00 AM,C,-1
8/23/13 10:01:00 AM,C,-1
8/23/13 2:01:00 PM,C,-0.5
8/23/13 6:01:00 PM,C,0
8/23/13 10:01:00 PM,C,0
8/24/13 2:01:00 AM,C,-0.5
8/24/13 6:01:00 AM,C,-1
8/24/13 10:01:00 AM,C,-0.5
8/24/13 2:01:00 PM,C,0
8/24/13 6:01:00 PM,C,0
8/24/13 10:01:00 PM,C,0
8/25/13 2:01:00 AM,C,0
8/25/13 6:01:00 AM,C,0
8/25/13 10:01:00 AM,C,-0.5
8/25/13 2:01:00 PM,C,0.5
8/25/13 6:01:00 PM,C,0
8/25/13 10:01:00 PM,C,0
8/26/13 2:01:00 AM,C,0
8/26/13 6:01:00 AM,C,0
8/26/13 10:01:00 AM,C,0
8/26/13 2:01:00 PM,C,0.5
8/26/13 6:01:00 PM,C,0
8/26/13 10:01:00 PM,C,0
8/27/13 2:01:00 AM,C,-1.5
8/27/13 6:01:00 AM,C,-2
8/27/13 10:01:00 AM,C,-2
8/27/13 2:01:00 PM,C,-1
8/27/13 6:01:00 PM,C,0.5
8/27/13 10:01:00 PM,C,0
8/28/13 2:01:00 AM,C,-0.5
8/28/13 6:01:00 AM,C,-2
8/28/13 10:01:00 AM,C,-2.5
8/28/13 2:01:00 PM,C,-1.5
8/28/13 6:01:00 PM,C,-1
8/28/13 10:01:00 PM,C,-1
8/29/13 2:01:00 AM,C,-1.5
8/29/13 6:01:00 AM,C,-1.5
8/29/13 10:01:00 AM,C,-1
8/29/13 2:01:00 PM,C,0
8/29/13 6:01:00 PM,C,0
8/29/13 10:01:00 PM,C,0
8/30/13 2:01:00 AM,C,-0.5
8/30/13 6:01:00 AM,C,-1
8/30/13 10:01:00 AM,C,-1
8/30/13 2:01:00 PM,C,-0.5
8/30/13 6:01:00 PM,C,-0.5
8/30/13 10:01:00 PM,C,-1.5
8/31/13 2:01:00 AM,C,-2.5
8/31/13 6:01:00 AM,C,-2
8/31/13 10:01:00 AM,C,-1
8/31/13 2:01:00 PM,C,0
8/31/13 6:01:00 PM,C,0
8/31/13 10:01:00 PM,C,-1
9/1/13 2:01:00 AM,C,-2.5
9/1/13 6:01:00 AM,C,-3.5
9/1/13 10:01:00 AM,C,-4
9/1/13 2:01:00 PM,C,-3
9/1/13 6:01:00 PM,C,-2
9/1/13 10:01:00 PM,C,-2
9/2/13 2:01:00 AM,C,-2.5
9/2/13 6:01:00 AM,C,-2.5
9/2/13 10:01:00 AM,C,-2
9/2/13 2:01:00 PM,C,-1.5
9/2/13 6:01:00 PM,C,-1
9/2/13 10:01:00 PM,C,-1.5
9/3/13 2:01:00 AM,C,-2
9/3/13 6:01:00 AM,C,-2.5
9/3/13 10:01:00 AM,C,-3
9/3/13 2:01:00 PM,C,-2.5
9/3/13 6:01:00 PM,C,-2
9/3/13 10:01:00 PM,C,-2.5
9/4/13 2:01:00 AM,C,-2.5
9/4/13 6:01:00 AM,C,-2
9/4/13 10:01:00 AM,C,-2
9/4/13 2:01:00 PM,C,-1
